episode,reward,acc,loss,reward_ma10,acc_ma10
240,-0.2667,0.5833,-0.0577,-0.0924,0.4834
241,-0.2500,0.5435,-0.0493,-0.1038,0.4813
242,-0.3000,0.5000,-0.0554,-0.1488,0.4729
243,-0.2500,0.3750,-0.0591,-0.1767,0.4456
244,-0.1500,0.4600,-0.0559,-0.1767,0.4689
245,-0.2000,0.5200,-0.0542,-0.1917,0.4709
246,-0.3000,0.3750,-0.0538,-0.2117,0.4684
247,-0.2500,0.4286,-0.0492,-0.2317,0.4885
248,0.0750,0.5625,-0.0534,-0.2192,0.4848
249,-0.2500,0.6000,-0.0538,-0.2142,0.4948
250,-0.2000,0.6000,-0.0530,-0.2075,0.4965
